domain,algorithm,variant,fault,group,rule,pool,n_selected,n_relevant,relevance_pct,chance_pct,lift
industrial,PCMCI,Polynomial degree 3,Fault_14,,top5,52,5,0,0.0,1.92,0.0
industrial,PCMCI,Polynomial degree 3,Fault_14,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Polynomial degree 3,Fault_14,,std1,52,2,0,0.0,1.92,0.0
industrial,PCMCI,Polynomial degree 3,Fault_4,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Polynomial degree 3,Fault_4,,top5,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Polynomial degree 3,Fault_4,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Polynomial degree 3,Fault_4,,std1,52,2,1,50.0,1.92,26.0
industrial,PCMCI,Polynomial degree 3,Fault_5,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Polynomial degree 3,Fault_5,,top5,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Polynomial degree 3,Fault_5,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Polynomial degree 3,Fault_5,,std1,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Polynomial degree 3,Fault_7,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,Polynomial degree 3,Fault_7,,top5,52,5,1,20.0,1.92,10.4
industrial,PCMCI,Polynomial degree 3,Fault_7,,top10,52,10,1,10.0,1.92,5.2
industrial,PCMCI,Polynomial degree 3,Fault_7,,std1,52,2,1,50.0,1.92,26.0
industrial,PCMCI,RBF + Ridge,Fault_11,,top3,52,3,1,33.33,1.92,17.33
industrial,PCMCI,RBF + Ridge,Fault_11,,top5,52,5,1,20.0,1.92,10.4
