Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_5,20,XMEAS_11,2.742322
Industrial (TEP),Linear / Ridge,Fault_5,21,XMEAS_10,2.697259
Industrial (TEP),Linear / Ridge,Fault_5,22,XMEAS_31,2.575622
Industrial (TEP),Linear / Ridge,Fault_5,23,XMEAS_23,2.432921
Industrial (TEP),Linear / Ridge,Fault_5,24,XMV_10,2.395274
Industrial (TEP),Linear / Ridge,Fault_5,25,XMEAS_3,2.286662
Industrial (TEP),Linear / Ridge,Fault_5,26,XMV_1,2.126305
Industrial (TEP),Linear / Ridge,Fault_5,27,XMEAS_28,2.033241
Industrial (TEP),Linear / Ridge,Fault_5,28,XMEAS_9,2.022416
Industrial (TEP),Linear / Ridge,Fault_5,29,XMEAS_29,1.804637
Industrial (TEP),Linear / Ridge,Fault_5,30,XMEAS_33,1.745067
Industrial (TEP),Linear / Ridge,Fault_5,31,XMV_6,1.717345
Industrial (TEP),Linear / Ridge,Fault_5,32,XMEAS_21,1.679654
Industrial (TEP),Linear / Ridge,Fault_5,33,XMEAS_34,1.555523
Industrial (TEP),Linear / Ridge,Fault_5,34,XMEAS_8,1.477265
Industrial (TEP),Linear / Ridge,Fault_5,35,XMEAS_37,1.425326
Industrial (TEP),Linear / Ridge,Fault_5,36,XMEAS_13,1.411601
Industrial (TEP),Linear / Ridge,Fault_5,37,XMEAS_36,1.391027
Industrial (TEP),Linear / Ridge,Fault_5,38,XMV_3,1.343728
Industrial (TEP),Linear / Ridge,Fault_5,39,XMEAS_5,1.318773
Industrial (TEP),Linear / Ridge,Fault_5,40,XMEAS_24,1.246007
Industrial (TEP),Linear / Ridge,Fault_5,41,XMEAS_39,1.218674
Industrial (TEP),Linear / Ridge,Fault_5,42,XMV_7,1.086248
Industrial (TEP),Linear / Ridge,Fault_5,43,XMEAS_12,1.084384
Industrial (TEP),Linear / Ridge,Fault_5,44,XMEAS_15,1.081603
Industrial (TEP),Linear / Ridge,Fault_5,45,XMV_8,1.080774
Industrial (TEP),Linear / Ridge,Fault_5,46,XMEAS_41,0.948053
Industrial (TEP),Linear / Ridge,Fault_5,47,XMEAS_6,0.851525
Industrial (TEP),Linear / Ridge,Fault_5,48,XMEAS_32,0.777605
Industrial (TEP),Linear / Ridge,Fault_5,49,XMEAS_26,0.774024
Industrial (TEP),Linear / Ridge,Fault_5,50,XMEAS_2,0.668177
Industrial (TEP),Linear / Ridge,Fault_5,51,XMEAS_14,0.559985
Industrial (TEP),Linear / Ridge,Fault_5,52,XMEAS_40,0.460662
