Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Polynomial degree 3,Attack_2,4,V2,1.591747
Healthcare (ECG),Polynomial degree 3,Attack_2,5,V6,1.508151
Healthcare (ECG),Polynomial degree 3,Attack_2,6,AVL,1.194411
Healthcare (ECG),Polynomial degree 3,Attack_2,7,II,1.134114
Healthcare (ECG),Polynomial degree 3,Attack_2,8,AVF,1.120269
Healthcare (ECG),Polynomial degree 3,Attack_2,9,AVR,1.018686
Healthcare (ECG),Polynomial degree 3,Attack_2,10,III,0.907388
Healthcare (ECG),Polynomial degree 3,Attack_2,11,I,0.901888
Healthcare (ECG),Polynomial degree 3,Attack_2,12,V1,0.693980
Healthcare (ECG),Polynomial degree 3,Attack_3,1,V5,2.146257
Healthcare (ECG),Polynomial degree 3,Attack_3,2,V3,1.780934
Healthcare (ECG),Polynomial degree 3,Attack_3,3,V4,1.778936
Healthcare (ECG),Polynomial degree 3,Attack_3,4,V6,1.531569
Healthcare (ECG),Polynomial degree 3,Attack_3,5,V2,1.313419
Healthcare (ECG),Polynomial degree 3,Attack_3,6,AVL,1.256877
Healthcare (ECG),Polynomial degree 3,Attack_3,7,AVR,1.095925
Healthcare (ECG),Polynomial degree 3,Attack_3,8,AVF,1.076356
Healthcare (ECG),Polynomial degree 3,Attack_3,9,III,0.938880
Healthcare (ECG),Polynomial degree 3,Attack_3,10,II,0.841090
Healthcare (ECG),Polynomial degree 3,Attack_3,11,I,0.837748
Healthcare (ECG),Polynomial degree 3,Attack_3,12,V1,0.563185
Healthcare (ECG),Polynomial degree 3,Attack_4,1,AVF,1.170777
Healthcare (ECG),Polynomial degree 3,Attack_4,2,II,1.095950
Healthcare (ECG),Polynomial degree 3,Attack_4,3,AVL,1.091755
Healthcare (ECG),Polynomial degree 3,Attack_4,4,V3,1.080314
Healthcare (ECG),Polynomial degree 3,Attack_4,5,V2,1.043949
Healthcare (ECG),Polynomial degree 3,Attack_4,6,V4,1.032579
Healthcare (ECG),Polynomial degree 3,Attack_4,7,V5,1.007597
Healthcare (ECG),Polynomial degree 3,Attack_4,8,AVR,0.952855
Healthcare (ECG),Polynomial degree 3,Attack_4,9,I,0.903907
Healthcare (ECG),Polynomial degree 3,Attack_4,10,V6,0.803189
Healthcare (ECG),Polynomial degree 3,Attack_4,11,III,0.788711
Healthcare (ECG),Polynomial degree 3,Attack_4,12,V1,0.534502
Healthcare (ECG),Polynomial degree 3,Attack_5,1,AVR,1.539752
Healthcare (ECG),Polynomial degree 3,Attack_5,2,V1,1.091518
Healthcare (ECG),Polynomial degree 3,Attack_5,3,I,1.081027
Healthcare (ECG),Polynomial degree 3,Attack_5,4,III,1.029963
Healthcare (ECG),Polynomial degree 3,Attack_5,5,V3,0.997163
Healthcare (ECG),Polynomial degree 3,Attack_5,6,V2,0.979972
Healthcare (ECG),Polynomial degree 3,Attack_5,7,AVL,0.972016
Healthcare (ECG),Polynomial degree 3,Attack_5,8,AVF,0.840782
Healthcare (ECG),Polynomial degree 3,Attack_5,9,V4,0.801445
Healthcare (ECG),Polynomial degree 3,Attack_5,10,V5,0.776475
Healthcare (ECG),Polynomial degree 3,Attack_5,11,II,0.625845
Healthcare (ECG),Polynomial degree 3,Attack_5,12,V6,0.537629
Healthcare (ECG),Polynomial degree 3,Attack_6,1,V3,1.282319
Healthcare (ECG),Polynomial degree 3,Attack_6,2,V4,1.131749
Healthcare (ECG),Polynomial degree 3,Attack_6,3,V5,1.114948
Healthcare (ECG),Polynomial degree 3,Attack_6,4,AVF,1.109215
Healthcare (ECG),Polynomial degree 3,Attack_6,5,V2,1.081342
Healthcare (ECG),Polynomial degree 3,Attack_6,6,AVR,1.061119
Healthcare (ECG),Polynomial degree 3,Attack_6,7,I,1.039496
Healthcare (ECG),Polynomial degree 3,Attack_6,8,V6,1.005882
Healthcare (ECG),Polynomial degree 3,Attack_6,9,AVL,0.954905
Healthcare (ECG),Polynomial degree 3,Attack_6,10,II,0.950530
Healthcare (ECG),Polynomial degree 3,Attack_6,11,III,0.785720
Healthcare (ECG),Polynomial degree 3,Attack_6,12,V1,0.540197
Healthcare (ECG),Polynomial degree 3,Attack_7,1,V3,1.630642
Healthcare (ECG),Polynomial degree 3,Attack_7,2,V4,1.527156
Healthcare (ECG),Polynomial degree 3,Attack_7,3,V5,1.448896
Healthcare (ECG),Polynomial degree 3,Attack_7,4,V2,1.333878
Healthcare (ECG),Polynomial degree 3,Attack_7,5,I,1.221400
Healthcare (ECG),Polynomial degree 3,Attack_7,6,V6,1.175113
Healthcare (ECG),Polynomial degree 3,Attack_7,7,AVR,1.171211
Healthcare (ECG),Polynomial degree 3,Attack_7,8,II,0.923572
Healthcare (ECG),Polynomial degree 3,Attack_7,9,AVL,0.904934
Healthcare (ECG),Polynomial degree 3,Attack_7,10,AVF,0.852217
Healthcare (ECG),Polynomial degree 3,Attack_7,11,V1,0.782734
Healthcare (ECG),Polynomial degree 3,Attack_7,12,III,0.421221
Healthcare (ECG),Polynomial degree 3,Attack_8,1,V4,2.284585
