Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Linear / Ridge,Attack_14,9,V1,0.736384
Healthcare (ECG),Linear / Ridge,Attack_14,10,V4,0.624374
Healthcare (ECG),Linear / Ridge,Attack_14,11,V2,0.528707
Healthcare (ECG),Linear / Ridge,Attack_14,12,V3,0.475390
Healthcare (ECG),Linear / Ridge,Attack_15,1,V6,2.739045
Healthcare (ECG),Linear / Ridge,Attack_15,2,I,1.064889
Healthcare (ECG),Linear / Ridge,Attack_15,3,AVR,0.786858
Healthcare (ECG),Linear / Ridge,Attack_15,4,V3,0.767031
Healthcare (ECG),Linear / Ridge,Attack_15,5,V5,0.757188
Healthcare (ECG),Linear / Ridge,Attack_15,6,II,0.742205
Healthcare (ECG),Linear / Ridge,Attack_15,7,V2,0.738823
Healthcare (ECG),Linear / Ridge,Attack_15,8,AVF,0.736150
Healthcare (ECG),Linear / Ridge,Attack_15,9,AVL,0.693792
Healthcare (ECG),Linear / Ridge,Attack_15,10,V4,0.682943
Healthcare (ECG),Linear / Ridge,Attack_15,11,III,0.640848
Healthcare (ECG),Linear / Ridge,Attack_15,12,V1,0.518664
Healthcare (ECG),Linear / Ridge,Attack_16,1,V2,1.134260
Healthcare (ECG),Linear / Ridge,Attack_16,2,V3,1.079301
Healthcare (ECG),Linear / Ridge,Attack_16,3,I,1.025562
Healthcare (ECG),Linear / Ridge,Attack_16,4,AVF,0.873243
Healthcare (ECG),Linear / Ridge,Attack_16,5,III,0.785995
Healthcare (ECG),Linear / Ridge,Attack_16,6,V4,0.734837
Healthcare (ECG),Linear / Ridge,Attack_16,7,II,0.717806
Healthcare (ECG),Linear / Ridge,Attack_16,8,AVL,0.656814
Healthcare (ECG),Linear / Ridge,Attack_16,9,V6,0.633717
Healthcare (ECG),Linear / Ridge,Attack_16,10,V5,0.628059
Healthcare (ECG),Linear / Ridge,Attack_16,11,V1,0.618565
Healthcare (ECG),Linear / Ridge,Attack_16,12,AVR,0.595044
Healthcare (ECG),Linear / Ridge,Attack_17,1,V5,1.902782
Healthcare (ECG),Linear / Ridge,Attack_17,2,AVL,1.663547
Healthcare (ECG),Linear / Ridge,Attack_17,3,V6,1.598645
Healthcare (ECG),Linear / Ridge,Attack_17,4,AVF,1.559884
Healthcare (ECG),Linear / Ridge,Attack_17,5,III,1.558739
Healthcare (ECG),Linear / Ridge,Attack_17,6,I,1.437993
Healthcare (ECG),Linear / Ridge,Attack_17,7,II,1.316613
Healthcare (ECG),Linear / Ridge,Attack_17,8,AVR,1.164216
Healthcare (ECG),Linear / Ridge,Attack_17,9,V4,0.779761
Healthcare (ECG),Linear / Ridge,Attack_17,10,V1,0.524452
Healthcare (ECG),Linear / Ridge,Attack_17,11,V2,0.442213
Healthcare (ECG),Linear / Ridge,Attack_17,12,V3,0.417921
Healthcare (ECG),Linear / Ridge,Attack_18,1,V5,1.213900
Healthcare (ECG),Linear / Ridge,Attack_18,2,V6,1.162917
Healthcare (ECG),Linear / Ridge,Attack_18,3,I,1.088568
Healthcare (ECG),Linear / Ridge,Attack_18,4,V4,1.073740
Healthcare (ECG),Linear / Ridge,Attack_18,5,AVR,0.904973
Healthcare (ECG),Linear / Ridge,Attack_18,6,II,0.814667
Healthcare (ECG),Linear / Ridge,Attack_18,7,AVF,0.796457
Healthcare (ECG),Linear / Ridge,Attack_18,8,AVL,0.730089
