Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_9,12,XMEAS_7,1.953996
Industrial (TEP),Linear / Ridge,Fault_9,13,XMEAS_17,1.856203
Industrial (TEP),Linear / Ridge,Fault_9,14,XMV_3,1.710654
Industrial (TEP),Linear / Ridge,Fault_9,15,XMEAS_1,1.513894
Industrial (TEP),Linear / Ridge,Fault_9,16,XMEAS_11,1.468525
Industrial (TEP),Linear / Ridge,Fault_9,17,XMEAS_16,1.425377
Industrial (TEP),Linear / Ridge,Fault_9,18,XMEAS_31,1.298107
Industrial (TEP),Linear / Ridge,Fault_9,19,XMEAS_38,1.250072
Industrial (TEP),Linear / Ridge,Fault_9,20,XMV_10,1.199966
Industrial (TEP),Linear / Ridge,Fault_9,21,XMEAS_2,1.093373
Industrial (TEP),Linear / Ridge,Fault_9,22,XMEAS_34,0.949276
Industrial (TEP),Linear / Ridge,Fault_9,23,XMEAS_25,0.864967
Industrial (TEP),Linear / Ridge,Fault_9,24,XMEAS_3,0.750381
Industrial (TEP),Linear / Ridge,Fault_9,25,XMEAS_29,0.696892
Industrial (TEP),Linear / Ridge,Fault_10,1,XMEAS_18,12.144567
Industrial (TEP),Linear / Ridge,Fault_10,2,XMV_5,11.796616
Industrial (TEP),Linear / Ridge,Fault_10,3,XMEAS_20,3.785962
Industrial (TEP),Linear / Ridge,Fault_10,4,XMEAS_33,3.620396
Industrial (TEP),Linear / Ridge,Fault_10,5,XMEAS_7,3.392787
Industrial (TEP),Linear / Ridge,Fault_10,6,XMEAS_1,3.296510
Industrial (TEP),Linear / Ridge,Fault_10,7,XMV_6,2.995027
Industrial (TEP),Linear / Ridge,Fault_10,8,XMV_9,2.993433
Industrial (TEP),Linear / Ridge,Fault_10,9,XMEAS_38,2.824029
Industrial (TEP),Linear / Ridge,Fault_10,10,XMEAS_13,2.719790
Industrial (TEP),Linear / Ridge,Fault_10,11,XMV_1,2.667948
Industrial (TEP),Linear / Ridge,Fault_10,12,XMEAS_21,2.566499
Industrial (TEP),Linear / Ridge,Fault_10,13,XMEAS_4,2.233416
Industrial (TEP),Linear / Ridge,Fault_10,14,XMEAS_11,2.182118
Industrial (TEP),Linear / Ridge,Fault_10,15,XMEAS_16,2.181672
Industrial (TEP),Linear / Ridge,Fault_10,16,XMEAS_31,2.077781
Industrial (TEP),Linear / Ridge,Fault_10,17,XMEAS_27,1.953802
Industrial (TEP),Linear / Ridge,Fault_10,18,XMEAS_17,1.850974
Industrial (TEP),Linear / Ridge,Fault_10,19,XMV_3,1.615582
Industrial (TEP),Linear / Ridge,Fault_10,20,XMEAS_25,1.610376
Industrial (TEP),Linear / Ridge,Fault_10,21,XMEAS_34,1.286604
Industrial (TEP),Linear / Ridge,Fault_10,22,XMEAS_2,1.185296
Industrial (TEP),Linear / Ridge,Fault_10,23,XMEAS_3,1.061750
Industrial (TEP),Linear / Ridge,Fault_10,24,XMEAS_29,0.925524
Industrial (TEP),Linear / Ridge,Fault_10,25,XMV_10,0.873327
Industrial (TEP),Linear / Ridge,Fault_11,1,XMV_10,8.411621
Industrial (TEP),Linear / Ridge,Fault_11,2,XMV_5,5.546783
Industrial (TEP),Linear / Ridge,Fault_11,3,XMV_6,3.244547
Industrial (TEP),Linear / Ridge,Fault_11,4,XMEAS_18,3.114438
Industrial (TEP),Linear / Ridge,Fault_11,5,XMEAS_20,2.987488
Industrial (TEP),Linear / Ridge,Fault_11,6,XMV_1,2.937404
Industrial (TEP),Linear / Ridge,Fault_11,7,XMEAS_33,2.931751
Industrial (TEP),Linear / Ridge,Fault_11,8,XMEAS_21,2.196068
Industrial (TEP),Linear / Ridge,Fault_11,9,XMEAS_27,2.133466
Industrial (TEP),Linear / Ridge,Fault_11,10,XMEAS_4,2.089720
Industrial (TEP),Linear / Ridge,Fault_11,11,XMEAS_7,1.997631
Industrial (TEP),Linear / Ridge,Fault_11,12,XMV_9,1.921045
Industrial (TEP),Linear / Ridge,Fault_11,13,XMEAS_13,1.876457
Industrial (TEP),Linear / Ridge,Fault_11,14,XMEAS_17,1.797442
Industrial (TEP),Linear / Ridge,Fault_11,15,XMV_3,1.631954
Industrial (TEP),Linear / Ridge,Fault_11,16,XMEAS_11,1.525612
Industrial (TEP),Linear / Ridge,Fault_11,17,XMEAS_1,1.479471
Industrial (TEP),Linear / Ridge,Fault_11,18,XMEAS_16,1.463457
Industrial (TEP),Linear / Ridge,Fault_11,19,XMEAS_38,1.174514
Industrial (TEP),Linear / Ridge,Fault_11,20,XMEAS_34,1.121154
Industrial (TEP),Linear / Ridge,Fault_11,21,XMEAS_2,1.062006
Industrial (TEP),Linear / Ridge,Fault_11,22,XMEAS_31,1.055318
Industrial (TEP),Linear / Ridge,Fault_11,23,XMEAS_25,0.825533
Industrial (TEP),Linear / Ridge,Fault_11,24,XMEAS_29,0.754658
Industrial (TEP),Linear / Ridge,Fault_11,25,XMEAS_3,0.590533
Industrial (TEP),Linear / Ridge,Fault_12,1,XMV_5,26.588017
Industrial (TEP),Linear / Ridge,Fault_12,2,XMV_9,20.555773
Industrial (TEP),Linear / Ridge,Fault_12,3,XMEAS_21,18.303819
Industrial (TEP),Linear / Ridge,Fault_12,4,XMEAS_7,14.486589
Industrial (TEP),Linear / Ridge,Fault_12,5,XMEAS_20,11.033587
Industrial (TEP),Linear / Ridge,Fault_12,6,XMEAS_11,10.658282
Industrial (TEP),Linear / Ridge,Fault_12,7,XMEAS_38,9.192946
Industrial (TEP),Linear / Ridge,Fault_12,8,XMEAS_33,8.029557
Industrial (TEP),Linear / Ridge,Fault_12,9,XMEAS_1,7.728668
Industrial (TEP),Linear / Ridge,Fault_12,10,XMEAS_18,7.270906
Industrial (TEP),Linear / Ridge,Fault_12,11,XMEAS_4,6.701248
Industrial (TEP),Linear / Ridge,Fault_12,12,XMV_10,6.394584
Industrial (TEP),Linear / Ridge,Fault_12,13,XMEAS_13,6.264239
Industrial (TEP),Linear / Ridge,Fault_12,14,XMEAS_31,5.815672
Industrial (TEP),Linear / Ridge,Fault_12,15,XMEAS_16,5.669163
Industrial (TEP),Linear / Ridge,Fault_12,16,XMEAS_29,5.160922
Industrial (TEP),Linear / Ridge,Fault_12,17,XMEAS_25,4.782071
Industrial (TEP),Linear / Ridge,Fault_12,18,XMEAS_34,3.494809
Industrial (TEP),Linear / Ridge,Fault_12,19,XMV_6,3.313105
Industrial (TEP),Linear / Ridge,Fault_12,20,XMEAS_27,3.118898
Industrial (TEP),Linear / Ridge,Fault_12,21,XMEAS_2,2.606133
Industrial (TEP),Linear / Ridge,Fault_12,22,XMEAS_17,2.261234
Industrial (TEP),Linear / Ridge,Fault_12,23,XMEAS_3,2.256128
Industrial (TEP),Linear / Ridge,Fault_12,24,XMV_1,2.157993
Industrial (TEP),Linear / Ridge,Fault_12,25,XMV_3,1.872179
Industrial (TEP),Linear / Ridge,Fault_13,1,XMV_5,26.666151
Industrial (TEP),Linear / Ridge,Fault_13,2,XMEAS_18,17.764208
Industrial (TEP),Linear / Ridge,Fault_13,3,XMV_9,17.692759
Industrial (TEP),Linear / Ridge,Fault_13,4,XMEAS_21,13.676472
Industrial (TEP),Linear / Ridge,Fault_13,5,XMEAS_38,12.794473
Industrial (TEP),Linear / Ridge,Fault_13,6,XMEAS_33,9.085525
Industrial (TEP),Linear / Ridge,Fault_13,7,XMEAS_11,8.294132
Industrial (TEP),Linear / Ridge,Fault_13,8,XMEAS_16,8.119936
Industrial (TEP),Linear / Ridge,Fault_13,9,XMEAS_20,7.409079
Industrial (TEP),Linear / Ridge,Fault_13,10,XMV_1,6.599725
Industrial (TEP),Linear / Ridge,Fault_13,11,XMEAS_13,6.599558
Industrial (TEP),Linear / Ridge,Fault_13,12,XMV_6,6.435320
Industrial (TEP),Linear / Ridge,Fault_13,13,XMEAS_7,6.096074
Industrial (TEP),Linear / Ridge,Fault_13,14,XMEAS_1,5.258660
Industrial (TEP),Linear / Ridge,Fault_13,15,XMEAS_27,4.625404
Industrial (TEP),Linear / Ridge,Fault_13,16,XMEAS_4,4.403839
Industrial (TEP),Linear / Ridge,Fault_13,17,XMEAS_31,4.242208
Industrial (TEP),Linear / Ridge,Fault_13,18,XMEAS_3,3.257993
Industrial (TEP),Linear / Ridge,Fault_13,19,XMEAS_25,3.135347
Industrial (TEP),Linear / Ridge,Fault_13,20,XMEAS_2,3.020875
Industrial (TEP),Linear / Ridge,Fault_13,21,XMV_10,2.719422
Industrial (TEP),Linear / Ridge,Fault_13,22,XMEAS_17,2.102495
Industrial (TEP),Linear / Ridge,Fault_13,23,XMEAS_29,2.056514
Industrial (TEP),Linear / Ridge,Fault_13,24,XMV_3,1.521461
Industrial (TEP),Linear / Ridge,Fault_13,25,XMEAS_34,1.393666
Industrial (TEP),Linear / Ridge,Fault_14,1,XMEAS_21,12.972707
Industrial (TEP),Linear / Ridge,Fault_14,2,XMV_10,7.179275
Industrial (TEP),Linear / Ridge,Fault_14,3,XMV_5,5.456459
Industrial (TEP),Linear / Ridge,Fault_14,4,XMEAS_18,3.261575
Industrial (TEP),Linear / Ridge,Fault_14,5,XMV_6,3.045145
Industrial (TEP),Linear / Ridge,Fault_14,6,XMEAS_20,2.902146
Industrial (TEP),Linear / Ridge,Fault_14,7,XMEAS_33,2.835237
Industrial (TEP),Linear / Ridge,Fault_14,8,XMV_1,2.659510
Industrial (TEP),Linear / Ridge,Fault_14,9,XMEAS_7,2.342777
Industrial (TEP),Linear / Ridge,Fault_14,10,XMEAS_27,2.185637
Industrial (TEP),Linear / Ridge,Fault_14,11,XMEAS_13,2.061662
Industrial (TEP),Linear / Ridge,Fault_14,12,XMEAS_4,2.035357
Industrial (TEP),Linear / Ridge,Fault_14,13,XMV_9,2.018911
Industrial (TEP),Linear / Ridge,Fault_14,14,XMEAS_17,1.831079
Industrial (TEP),Linear / Ridge,Fault_14,15,XMV_3,1.719313
Industrial (TEP),Linear / Ridge,Fault_14,16,XMEAS_1,1.516427
Industrial (TEP),Linear / Ridge,Fault_14,17,XMEAS_11,1.480635
Industrial (TEP),Linear / Ridge,Fault_14,18,XMEAS_16,1.309651
Industrial (TEP),Linear / Ridge,Fault_14,19,XMEAS_38,1.241534
Industrial (TEP),Linear / Ridge,Fault_14,20,XMEAS_31,1.215467
Industrial (TEP),Linear / Ridge,Fault_14,21,XMEAS_2,1.074253
Industrial (TEP),Linear / Ridge,Fault_14,22,XMEAS_25,0.859444
Industrial (TEP),Linear / Ridge,Fault_14,23,XMEAS_3,0.828103
Industrial (TEP),Linear / Ridge,Fault_14,24,XMEAS_34,0.815379
Industrial (TEP),Linear / Ridge,Fault_14,25,XMEAS_29,0.728291
Industrial (TEP),Linear / Ridge,Fault_15,1,XMV_5,6.266584
Industrial (TEP),Linear / Ridge,Fault_15,2,XMEAS_18,3.519525
Industrial (TEP),Linear / Ridge,Fault_15,3,XMV_6,3.011332
Industrial (TEP),Linear / Ridge,Fault_15,4,XMEAS_20,2.934011
Industrial (TEP),Linear / Ridge,Fault_15,5,XMEAS_33,2.840207
